study,dataset,variable,instrument,question,item
scp,p,ZG,2021_1,Q0,ZG
scp,p,hhhage01,2021_1,Q50,hhhage01
scp,p,hhhage02,2021_1,Q50,hhhage02
scp,p,hhhage03,2021_1,Q50,hhhage03
scp,p,hhhbasup,2021_1,Q52,hhhbasup
scp,p,hhhincnet,2021_1,Q51,hhhincnet
scp,p,hhhsize,2021_1,Q49,hhhsize
scp,p,hhhtyp,2021_1,Q48,hhhtyp
scp,p,hpall01,2021_1,Q53e1,hpall01
scp,p,hpall02,2021_1,Q53e2,hpall02
scp,p,hpall03,2021_1,Q53e3,hpall03
scp,p,hpall04,2021_1,Q53e4,hpall04
scp,p,hpall05,2021_1,Q53e5,hpall05
scp,p,hpall06,2021_1,Q53e6,hpall06
scp,p,hpall07,2021_1,Q53e7,hpall07
scp,p,hpall08,2021_1,Q53e8,hpall08
scp,p,hpall09,2021_1,Q53e9,hpall09
scp,p,hpall10,2021_1,Q53e10,hpall10
scp,p,hpall11,2021_1,Q53e11,hpall11
scp,p,hpall12,2021_1,Q53e12,hpall12
scp,p,hpbmnth01,2021_1,Q53d1,hpbmnth01
scp,p,hpbmnth02,2021_1,Q53d2,hpbmnth02
scp,p,hpbmnth03,2021_1,Q53d3,hpbmnth03
scp,p,hpbmnth04,2021_1,Q53d4,hpbmnth04
scp,p,hpbmnth05,2021_1,Q53d5,hpbmnth05
scp,p,hpbmnth06,2021_1,Q53d6,hpbmnth06
scp,p,hpbmnth07,2021_1,Q53d7,hpbmnth07
scp,p,hpbmnth08,2021_1,Q53d8,hpbmnth08
scp,p,hpbmnth09,2021_1,Q53d9,hpbmnth09
scp,p,hpbmnth10,2021_1,Q53d10,hpbmnth10
scp,p,hpbmnth11,2021_1,Q53d11,hpbmnth11
scp,p,hpbmnth12,2021_1,Q53d12,hpbmnth12
scp,p,hpbyear01,2021_1,Q53d1,hpbyear01
scp,p,hpbyear02,2021_1,Q53d2,hpbyear02
scp,p,hpbyear03,2021_1,Q53d3,hpbyear03
scp,p,hpbyear04,2021_1,Q53d4,hpbyear04
scp,p,hpbyear05,2021_1,Q53d5,hpbyear05
scp,p,hpbyear06,2021_1,Q53d6,hpbyear06
scp,p,hpbyear07,2021_1,Q53d7,hpbyear07
scp,p,hpbyear08,2021_1,Q53d8,hpbyear08
scp,p,hpbyear09,2021_1,Q53d9,hpbyear09
scp,p,hpbyear10,2021_1,Q53d10,hpbyear10
scp,p,hpbyear11,2021_1,Q53d11,hpbyear11
scp,p,hpbyear12,2021_1,Q53d12,hpbyear12
scp,p,hpname01,2021_1,Q53a1,hpname01
scp,p,hpname02,2021_1,Q53a2,hpname02
scp,p,hpname03,2021_1,Q53a3,hpname03
scp,p,hpname04,2021_1,Q53a4,hpname04
scp,p,hpname05,2021_1,Q53a5,hpname05
scp,p,hpname06,2021_1,Q53a6,hpname06
scp,p,hpname07,2021_1,Q53a7,hpname07
scp,p,hpname08,2021_1,Q53a8,hpname08
scp,p,hpname09,2021_1,Q53a9,hpname09
scp,p,hpname10,2021_1,Q53a10,hpname10
scp,p,hpname11,2021_1,Q53a11,hpname11
scp,p,hpname12,2021_1,Q53a12,hpname12
scp,p,hprelat01,2021_1,Q53c1,hprelat01
scp,p,hprelat02,2021_1,Q53c2,hprelat02
scp,p,hprelat03,2021_1,Q53c3,hprelat03
scp,p,hprelat04,2021_1,Q53c4,hprelat04
scp,p,hprelat05,2021_1,Q53c5,hprelat05
scp,p,hprelat06,2021_1,Q53c6,hprelat06
scp,p,hprelat07,2021_1,Q53c7,hprelat07
scp,p,hprelat08,2021_1,Q53c8,hprelat08
scp,p,hprelat09,2021_1,Q53c9,hprelat09
scp,p,hprelat10,2021_1,Q53c10,hprelat10
scp,p,hprelat11,2021_1,Q53c11,hprelat11
scp,p,hprelat12,2021_1,Q53c12,hprelat12
scp,p,hpsex01,2021_1,Q53b1,hpsex01
scp,p,hpsex02,2021_1,Q53b2,hpsex02
scp,p,hpsex03,2021_1,Q53b3,hpsex03
scp,p,hpsex04,2021_1,Q53b4,hpsex04
scp,p,hpsex05,2021_1,Q53b5,hpsex05
scp,p,hpsex06,2021_1,Q53b6,hpsex06
scp,p,hpsex07,2021_1,Q53b7,hpsex07
scp,p,hpsex08,2021_1,Q53b8,hpsex08
scp,p,hpsex09,2021_1,Q53b9,hpsex09
scp,p,hpsex10,2021_1,Q53b10,hpsex10
scp,p,hpsex11,2021_1,Q53b11,hpsex11
scp,p,hpsex12,2021_1,Q53b12,hpsex12
scp,p,pbirthmnth,2021_1,Q6,pbirthmnth
scp,p,pbirthyear,2021_1,Q6,pbirthyear
scp,p,pcivil,2021_1,Q43,pcivil
scp,p,pclimcon,2021_1,Q22,pclimcon
scp,p,pclimsor,2021_1,Q21,pclimsor
scp,p,pcohab,2021_1,Q8,pcohab
scp,p,pcohes01,2021_1,Q1,pcohes01
scp,p,pcohes02,2021_1,Q1,pcohes02
scp,p,pcohes03,2021_1,Q1,pcohes03
scp,p,pcohes04,2021_1,Q1,pcohes04
scp,p,pcohes05,2021_1,Q1,pcohes05
scp,p,pcohes06,2021_1,Q1,pcohes06
scp,p,pcohes07,2021_1,Q1,pcohes07
scp,p,pcohes08,2021_1,Q1,pcohes08
scp,p,pcohes09,2021_1,Q1,pcohes09
scp,p,pcohes10,2021_1,Q1,pcohes10
scp,p,pcohes11,2021_1,Q1,pcohes11
scp,p,pcohes12,2021_1,Q1,pcohes12
scp,p,pcontract,2021_1,Q39,pcontract
scp,p,pcov01,2021_1,Q9,pcov01
scp,p,pcov02,2021_1,Q9,pcov02
scp,p,pcov03,2021_1,Q9,pcov03
scp,p,pcov04,2021_1,Q9,pcov04
scp,p,pcovlim,2021_1,Q11,pcovlim
scp,p,pcovmeas,2021_1,Q10,pcovmeas
scp,p,pdemocfit,2021_1,Q19,pdemocfit
scp,p,pdemocsat,2021_1,Q20,pdemocsat
scp,p,pdevice01,2021_1,Q56a,pdevice01
scp,p,pdevice02,2021_1,Q56a,pdevice02
scp,p,pdevice03,2021_1,Q56a,pdevice03
scp,p,pdevice04,2021_1,Q56a,pdevice04
scp,p,pdevice05,2021_1,Q56a,pdevice05
scp,p,pedu01,2021_1,Q34,pedu01
scp,p,pedu02,2021_1,Q35,pedu02
scp,p,pempcond01,2021_1,Q38,pempcond01
scp,p,pempcond02,2021_1,Q38,pempcond02
scp,p,pempcond03,2021_1,Q38,pempcond03
scp,p,pempl,2021_1,Q44,pempl
scp,p,pempstat1,2021_1,Q36,pempstat1
scp,p,pfamexp01,2021_1,Q23,pfamexp01
scp,p,pfamexp02,2021_1,Q23,pfamexp02
scp,p,pfamexp03,2021_1,Q23,pfamexp03
scp,p,pfamexp04,2021_1,Q23,pfamexp04
scp,p,pfamexp05,2021_1,Q23,pfamexp05
scp,p,pfamexp06,2021_1,Q23,pfamexp06
scp,p,pfamstat,2021_1,Q7,pfamstat
scp,p,pfreespeech,2021_1,Q29,pfreespeech
scp,p,pfrspcons01,2021_1,Q30,pfrspcons01
scp,p,pfrspcons02,2021_1,Q30,pfrspcons02
scp,p,pfrspcons03,2021_1,Q30,pfrspcons03
scp,p,pfrspcons04,2021_1,Q30,pfrspcons04
scp,p,pfrspcons05,2021_1,Q30,pfrspcons05
scp,p,pfrspcons06,2021_1,Q30,pfrspcons06
scp,p,pfrspcons07,2021_1,Q30,pfrspcons07
scp,p,pgainemp,2021_1,Q37,pgainemp
scp,p,pgender,2021_1,Q5,pgender
scp,p,pgentrust,2021_1,Q13,pgentrust
scp,p,pgermstay,2021_1,Q15c,pgermstay
scp,p,pgrpknow01,2021_1,Q28,pgrpknow01
scp,p,pgrpknow02,2021_1,Q28,pgrpknow02
scp,p,pgrpknow03,2021_1,Q28,pgrpknow03
scp,p,pgrpknow04,2021_1,Q28,pgrpknow04
scp,p,pgrpknow05,2021_1,Q28,pgrpknow05
scp,p,pgrpknow06,2021_1,Q28,pgrpknow06
scp,p,pgrpknow07,2021_1,Q28,pgrpknow07
scp,p,pgrpknow08,2021_1,Q28,pgrpknow08
scp,p,pgrpknow09,2021_1,Q28,pgrpknow09
scp,p,pgrpknow10,2021_1,Q28,pgrpknow10
scp,p,pgrpknow11,2021_1,Q28,pgrpknow11
scp,p,pgrpknow12,2021_1,Q28,pgrpknow12
scp,p,pgrpknow13,2021_1,Q28,pgrpknow13
scp,p,pgrpknow14,2021_1,Q28,pgrpknow14
scp,p,pgrpknow15,2021_1,Q28,pgrpknow15
scp,p,pgrpknow16,2021_1,Q28,pgrpknow16
scp,p,pgrpknow17,2021_1,Q28,pgrpknow17
scp,p,pgrpsymp01,2021_1,Q27,pgrpsymp01
scp,p,pgrpsymp02,2021_1,Q27,pgrpsymp02
scp,p,pgrpsymp03,2021_1,Q27,pgrpsymp03
scp,p,pgrpsymp04,2021_1,Q27,pgrpsymp04
scp,p,pgrpsymp05,2021_1,Q27,pgrpsymp05
scp,p,pgrpsymp06,2021_1,Q27,pgrpsymp06
scp,p,pgrpsymp07,2021_1,Q27,pgrpsymp07
scp,p,pgrpsymp08,2021_1,Q27,pgrpsymp08
scp,p,pgrpsymp09,2021_1,Q27,pgrpsymp09
scp,p,pgrpsymp10,2021_1,Q27,pgrpsymp10
scp,p,pgrpsymp11,2021_1,Q27,pgrpsymp11
scp,p,pgrpsymp12,2021_1,Q27,pgrpsymp12
scp,p,pgrpsymp13,2021_1,Q27,pgrpsymp13
scp,p,pgrpsymp14,2021_1,Q27,pgrpsymp14
scp,p,pgrpsymp15,2021_1,Q27,pgrpsymp15
scp,p,pgrpsymp16,2021_1,Q27,pgrpsymp16
scp,p,pgrpsymp17,2021_1,Q27,pgrpsymp17
scp,p,pinsttrust01,2021_1,Q14,pinsttrust01
scp,p,pinsttrust02,2021_1,Q14,pinsttrust02
scp,p,pinsttrust03,2021_1,Q14,pinsttrust03
scp,p,pinsttrust04,2021_1,Q14,pinsttrust04
scp,p,pinsttrust05,2021_1,Q14,pinsttrust05
scp,p,pinsttrust06,2021_1,Q14,pinsttrust06
scp,p,pinsttrust07,2021_1,Q14,pinsttrust07
scp,p,pinsttrust08,2021_1,Q14,pinsttrust08
scp,p,pinsttrust09,2021_1,Q14,pinsttrust09
scp,p,pinsttrust10,2021_1,Q14,pinsttrust10
scp,p,pinsttrust11,2021_1,Q14,pinsttrust11
scp,p,plabincbrut,2021_1,Q46,plabincbrut
scp,p,plabincnet,2021_1,Q46,plabincnet
scp,p,pladder01,2021_1,Q32,pladder01
scp,p,plifesat,2021_1,Q3,plifesat
scp,p,plifeuse,2021_1,Q2,plifeuse
scp,p,pmigback01,2021_1,Q17,pmigback01
scp,p,pmigback02,2021_1,Q17,pmigback02
scp,p,pnation01,2021_1,Q16a,pnation01
scp,p,pnation02,2021_1,Q16a,pnation02
scp,p,pnatoth,2021_1,Q16b,pnatoth
scp,p,pneighexp01,2021_1,Q25,pneighexp01
scp,p,pneighexp02,2021_1,Q25,pneighexp02
scp,p,pneighexp03,2021_1,Q25,pneighexp03
scp,p,pneighexp04,2021_1,Q25,pneighexp04
scp,p,pneighexp05,2021_1,Q25,pneighexp05
scp,p,pneighexp06,2021_1,Q25,pneighexp06
scp,p,pnolabinc,2021_1,Q46,pnolabinc
scp,p,poccstat,2021_1,Q41,poccstat
scp,p,porigin,2021_1,Q15a,porigin
scp,p,pothcount,2021_1,Q15b,pothcount
scp,p,ppanelcons,2021_1,Q54,ppanelcons
scp,p,ppolatt,2021_1,Q4,ppolatt
scp,p,ppopul01,2021_1,Q31,ppopul01
scp,p,ppopul02,2021_1,Q31,ppopul02
scp,p,ppopul03,2021_1,Q31,ppopul03
scp,p,ppopul04,2021_1,Q31,ppopul04
scp,p,ppopul05,2021_1,Q31,ppopul05
scp,p,ppopul06,2021_1,Q31,ppopul06
scp,p,ppopul07,2021_1,Q31,ppopul07
scp,p,ppopul08,2021_1,Q31,ppopul08
scp,p,ppopul09,2021_1,Q31,ppopul09
scp,p,preldepriv,2021_1,Q33,preldepriv
scp,p,preligion,2021_1,Q18,preligion
scp,p,pselfemp,2021_1,Q42,pselfemp
scp,p,psundvote,2021_1,Q47,psundvote
scp,p,psuppo01,2021_1,Q12,psuppo01
scp,p,psuppo02,2021_1,Q12,psuppo02
scp,p,psuppo03,2021_1,Q12,psuppo03
scp,p,psuppo04,2021_1,Q12,psuppo04
scp,p,punivtrad01,2021_1,Q26,punivtrad01
scp,p,punivtrad02,2021_1,Q26,punivtrad02
scp,p,punivtrad03,2021_1,Q26,punivtrad03
scp,p,punivtrad04,2021_1,Q26,punivtrad04
scp,p,punivtrad05,2021_1,Q26,punivtrad05
scp,p,punivtrad06,2021_1,Q26,punivtrad06
scp,p,pworker,2021_1,Q45,pworker
scp,p,pworkexp01,2021_1,Q24,pworkexp01
scp,p,pworkexp02,2021_1,Q24,pworkexp02
scp,p,pworkexp03,2021_1,Q24,pworkexp03
scp,p,pworkexp04,2021_1,Q24,pworkexp04
scp,p,pworkexp05,2021_1,Q24,pworkexp05
scp,p,pworkexp06,2021_1,Q24,pworkexp06
scp,pgen,pgcasmin_scp,2021_1,Q34,pedu01
scp,pgen,pgcasmin_scp,2021_1,Q35,pedu02
scp,pgen,pgegp08_1_scp,2021_1,Q38,pempcond02
scp,pgen,pgegp08_1_scp,2021_1,Q40,poccupation
scp,pgen,pgegp08_1_scp,2021_1,Q41,poccstat
scp,pgen,pgegp08_1_scp,2021_1,Q42,pselfemp
scp,pgen,pgemplst_scp,2021_1,Q36,pempstat1
scp,pgen,pgfamstd_scp,2021_1,Q7,pfamstat
scp,pgen,pgfamstd_scp,2021_1,Q8,pcohab
scp,pgen,pgisced11_scp,2021_1,Q34,pedu01
scp,pgen,pgisced11_scp,2021_1,Q35,pedu02
scp,pgen,pgisced97_scp,2021_1,Q34,pedu01
scp,pgen,pgisced97_scp,2021_1,Q35,pedu02
scp,pgen,pgisco08_scp,2021_1,Q40,poccupation
scp,pgen,pgisco88_scp,2021_1,Q40,poccupation
scp,pgen,pgiscolj08_scp,2021_1,Q36,pempstat1
scp,pgen,pgiscolj08_scp,2021_1,Q40,poccupation
scp,pgen,pgiscolj88_scp,2021_1,Q36,pempstat1
scp,pgen,pgiscolj88_scp,2021_1,Q40,poccupation
scp,pgen,pgisei08_scp,2021_1,Q40,poccupation
scp,pgen,pgisei88_scp,2021_1,Q40,poccupation
scp,pgen,pglfs1_scp,2021_1,Q34,pedu01
scp,pgen,pglfs1_scp,2021_1,Q35,pedu02
scp,pgen,pglfs1_scp,2021_1,Q36,pempstat1
scp,pgen,pgmps08_scp,2021_1,Q40,poccupation
scp,pgen,pgnation_scp,2021_1,Q16a,pnation01
scp,pgen,pgnation_scp,2021_1,Q16b,pnatoth
scp,pgen,pgsiops08_scp,2021_1,Q40,poccupation
scp,pgen,pgstib1_scp,2021_1,Q36,pempstat1
scp,pgen,pgstib1_scp,2021_1,Q41,poccstat
scp,pgen,pgstib1_scp,2021_1,Q42,pselfemp
scp,pgen,pgstib1_scp,2021_1,Q43,pcivil
scp,pgen,pgstib1_scp,2021_1,Q44,pempl
scp,pgen,pgstib1_scp,2021_1,Q45,pworker
