study,dataset,variable,url,url_de
scp,p,pbirthyear,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/pbirthyear.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/pbirthyear.png
scp,p,hpbyear01,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear01.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear01.png
scp,p,hpbyear02,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear02.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear02.png
scp,p,hpbyear03,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear03.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear03.png
scp,p,hpbyear04,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear04.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear04.png
scp,p,hpbyear05,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear05.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear05.png
scp,p,hpbyear06,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear06.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear06.png
scp,p,hpbyear07,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear07.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear07.png
scp,p,hpbyear08,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear08.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear08.png
scp,p,hpbyear09,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear09.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear09.png
scp,p,hpbyear10,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear10.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear10.png
scp,p,hpbyear11,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear11.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear11.png
scp,p,hpbyear12,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear12.png,https://git.soep.de/soep-generierungen/soep-fgz-public/-/tree/main/paneldata_org/Graphs/hpbyear12.png